,name,distance,latitude,longitude,api,query
94,The Rosedale Diner,748,43.674991,-79.396273,foursquare,bar
95,Madison Avenue Pub,974,43.674991,-79.396273,foursquare,bar
96,Pour House Irish Pub,610,43.674991,-79.396273,foursquare,bar
97,KOKO! Share Bar,585,43.674991,-79.396273,foursquare,bar
98,Pilot Tavern,778,43.674991,-79.396273,foursquare,bar
99,Scaramouche Restaurant Pasta Bar & Grill,746,43.674991,-79.396273,foursquare,bar
100,Cibo Wine Bar - Yorkville,497,43.671944,-79.387778,foursquare,bar
101,Dbar,180,43.671944,-79.387778,foursquare,bar
102,The Rebel House,658,43.671944,-79.387778,foursquare,bar
103,The Oxley,446,43.671944,-79.387778,foursquare,bar
104,Striker Sports Bar,681,43.671944,-79.387778,foursquare,bar
105,The Rosedale Diner,976,43.671944,-79.387778,foursquare,bar
106,KOKO! Share Bar,312,43.671944,-79.387778,foursquare,bar
107,Nespresso Boutique Bar,503,43.671944,-79.387778,foursquare,bar
108,Aroma Espresso Bar,451,43.671944,-79.387778,foursquare,bar
109,The Keg Steakhouse & Bar,955,43.671944,-79.387778,foursquare,bar
110,Hi-Lo Bar,424,43.662365,-79.351104,foursquare,bar
111,The Comrade,421,43.662365,-79.351104,foursquare,bar
112,Rooftop at Broadview Hotel,371,43.662365,-79.351104,foursquare,bar
113,Farside,372,43.662365,-79.351104,foursquare,bar
114,Eastbound Brewing Co,379,43.662365,-79.351104,foursquare,bar
115,Prohibition Gastrohouse,399,43.662365,-79.351104,foursquare,bar
116,Dominion Pub and Kitchen,875,43.662365,-79.351104,foursquare,bar
117,Dark Horse Espresso Bar,441,43.662365,-79.351104,foursquare,bar
118,Dundas & Carlaw,802,43.662365,-79.351104,foursquare,bar
119,Brickworks Ciderhouse,401,43.662365,-79.351104,foursquare,bar
120,Library Bar,301,43.646144,-79.377962,foursquare,bar
121,Pravda Vodka Bar,369,43.646144,-79.377962,foursquare,bar
122,Earl's Kitchen & Bar,503,43.646144,-79.377962,foursquare,bar
123,Beer Bistro,368,43.646144,-79.377962,foursquare,bar
124,C'est What,443,43.646144,-79.377962,foursquare,bar
125,Steam Whistle Brewing,881,43.646144,-79.377962,foursquare,bar
126,RS - Real Sports,429,43.646144,-79.377962,foursquare,bar
127,Wvrst Union Station,304,43.646144,-79.377962,foursquare,bar
128,Walrus Pub & Beer Hall,185,43.646144,-79.377962,foursquare,bar
129,CRAFT Beer Market Toronto,437,43.646144,-79.377962,foursquare,bar
130,Stout Irish Pub,843,43.663993,-79.35853399999999,foursquare,bar
131,The Comrade,996,43.663993,-79.35853399999999,foursquare,bar
132,House on Parliament,750,43.663993,-79.35853399999999,foursquare,bar
133,Farside,577,43.663993,-79.35853399999999,foursquare,bar
134,Dominion Pub and Kitchen,786,43.663993,-79.35853399999999,foursquare,bar
135,Rooftop at Broadview Hotel,870,43.663993,-79.35853399999999,foursquare,bar
136,Eastbound Brewing Co,866,43.663993,-79.35853399999999,foursquare,bar
137,Prohibition Gastrohouse,875,43.663993,-79.35853399999999,foursquare,bar
138,The Irv Gastro Pub,972,43.663993,-79.35853399999999,foursquare,bar
139,Dark Horse Espresso Bar,787,43.663993,-79.35853399999999,foursquare,bar
140,Bar+ Karaoke Lounge,586,43.657266,-79.374756,foursquare,bar
141,T Bar,686,43.657266,-79.374756,foursquare,bar
142,Pravda Vodka Bar,972,43.657266,-79.374756,foursquare,bar
143,Beer Bistro,894,43.657266,-79.374756,foursquare,bar
144,C'est What,988,43.657266,-79.374756,foursquare,bar
145,The Queen and Beaver Public House,705,43.657266,-79.374756,foursquare,bar
146,Stout Irish Pub,868,43.657266,-79.374756,foursquare,bar
147,Hair of the Dog,733,43.657266,-79.374756,foursquare,bar
148,House on Parliament,900,43.657266,-79.374756,foursquare,bar
149,Pearl Diver,641,43.657266,-79.374756,foursquare,bar
150,Pinkerton's Snack Bar,666,43.6672144,-79.3452697,foursquare,bar
151,Hi-Lo Bar,912,43.6672144,-79.3452697,foursquare,bar
152,The Comrade,900,43.6672144,-79.3452697,foursquare,bar
153,Farside,547,43.6672144,-79.3452697,foursquare,bar
154,Dundas & Carlaw,409,43.6672144,-79.3452697,foursquare,bar
155,Rooftop at Broadview Hotel,979,43.6672144,-79.3452697,foursquare,bar
156,Poor Romeo,675,43.6672144,-79.3452697,foursquare,bar
157,Eastbound Brewing Co,995,43.6672144,-79.3452697,foursquare,bar
158,Avling,855,43.6672144,-79.3452697,foursquare,bar
159,Hailed Coffee,37,43.6672144,-79.3452697,foursquare,bar
160,The Greater Good Bar,525,43.673939000000004,-79.441159,foursquare,bar
