free_bikes,longitude,latitude
0,-79.295208,43.694826
17,-79.318651,43.673118
2,-79.295895,43.689293
12,-79.3149,43.66908
11,-79.47149,43.66073
3,-79.42679,43.66189
5,-79.4675,43.65389
2,-79.445029,43.676697
1,-79.4277,43.68114
4,-79.347938,43.663148
22,-79.3335,43.669813
13,-79.437461,43.633537
16,-79.47307,43.63632
2,-79.38786,43.697819
14,-79.429142,43.638426
11,-79.38279,43.65988
1,-79.410585,43.66842
3,-79.46418,43.66402
8,-79.46526,43.66686
4,-79.372127,43.671278
6,-79.399505,43.635023
7,-79.38235,43.66834
12,-79.38766,43.65263
3,-79.40355,43.70547
4,-79.354006,43.641675
0,-79.291416,43.694341
6,-79.36927,43.64422
2,-79.376304,43.685924
23,-79.364898,43.645215
16,-79.442741,43.646677
18,-79.46693,43.63855
0,-79.4657123,43.645599
1,-79.430465,43.674923
11,-79.316767,43.684758
20,-79.38148,43.66663
1,-79.294766,43.685221
21,-79.398253,43.635492
16,-79.383717,43.63951
7,-79.386741,43.641529
7,-79.4131148,43.6417852
28,-79.3802,43.655766
0,-79.432522,43.680466
21,-79.387095,43.664088
12,-79.46997,43.65917
9,-79.379173,43.671535
1,-79.38301,43.646734
1,-79.4066433,43.6662942
0,-79.423889,43.675278
2,-79.378623,43.648928
14,-79.351246,43.715951
16,-79.304711,43.665645
21,-79.39399,43.645572
1,-79.372637,43.652777
0,-79.451263,43.665538
21,-79.372287,43.650325
0,-79.38915,43.66943
0,-79.3894,43.669244
0,-79.41562,43.683351
11,-79.373446,43.6574766
19,-79.400042,43.636611
3,-79.406468,43.646552
2,-79.400162,43.713524
13,-79.3733541,43.65003919999999
13,-79.382458,43.653264
0,-79.392125,43.663376
6,-79.385525,43.660439
9,-79.390213,43.659226
6,-79.38964,43.65995
1,-79.389682,43.661803
2,-79.385655,43.660087
15,-79.4873148,43.6146692
26,-79.476723,43.626265
4,-79.458173,43.63771
22,-79.4760109,43.6390437
2,-79.4376413,43.6486599
6,-79.4240277,43.6423847
1,-79.4360232,43.6702236
14,-79.3778458,43.6752732
6,-79.411084,43.645469
0,-79.4253856,43.6882821
6,-79.408346,43.651603
6,-79.402643,43.670206
1,-79.413845,43.661559
12,-79.393259,43.6560758
2,-79.3927404,43.6580442
14,-79.3966159,43.6568254
13,-79.54033009999999,43.5927419
8,-79.522768,43.597082
10,-79.4971065,43.6171635
18,-79.496573,43.612063
14,-79.489083,43.63732
9,-79.5160575,43.5961692
25,-79.4883535,43.613606
14,-79.489385,43.664665
7,-79.484892,43.665523
15,-79.485426,43.668496
2,-79.519472,43.698841
2,-79.487246,43.658574
23,-79.43703,43.63985
6,-79.341509,43.665076
34,-79.40978179999999,43.6323994
11,-79.3301658,43.6935477
2,-79.4770327,43.6438036
12,-79.413528,43.65246
11,-79.35397680000001,43.6548521
14,-79.482407,43.630874
0,-79.45328549999999,43.6704403
10,-79.354068,43.6535
1,-79.361515,43.6617908
16,-79.364184,43.649709
16,-79.374161,43.666051
0,-79.397345,43.7005976
9,-79.3979073,43.7029672
1,-79.39264,43.68871
1,-79.5108942,43.6834703
4,-79.5025943,43.7696262
4,-79.5012809,43.7641485
2,-79.491281,43.76521
11,-79.4675395,43.7724019
3,-79.467963,43.7781116
1,-79.40966,43.707049
6,-79.378615,43.711751
0,-79.40401,43.732975
0,-79.398049,43.660274
7,-79.318802,43.699281
8,-79.297436,43.696631
17,-79.391291,43.650077
5,-79.3163022,43.6765897
1,-79.383633,43.650745
10,-79.362092,43.720233
0,-79.441042,43.6926825
1,-79.4094472,43.7041957
0,-79.39248,43.7078691
0,-79.5432067,43.5880774
3,-79.1971289,43.754978
3,-79.3718,43.6856
11,-79.345359,43.637764
33,-79.4018451,43.6629228
7,-79.397107,43.660296
5,-79.1301203,43.7805505
0,-79.1659711,43.7777114
5,-79.193023,43.779353
12,-79.199327,43.747854
6,-79.2026694,43.7561681
5,-79.5108692,43.6002896
11,-79.498398,43.6615467
4,-79.4397052,43.6632257
2,-79.291714,43.680095
13,-79.288619,43.691468
13,-79.380386,43.645609
6,-79.3855555555556,43.6591666666667
21,-79.369596,43.658777
1,-79.5030161,43.6625395
0,-79.4275305,43.7004017
6,-79.45233,43.77953
7,-79.4447096,43.7774374
2,-79.39806449999999,43.6637403
2,-79.375437,43.707045
7,-79.3762096,43.6495789
0,-79.4375028,43.690903
7,-79.41230469904167,43.643253094827294
16,-79.4926867,43.6029904
0,-79.4799176,43.6596299
5,-79.43166666666667,43.6608333
0,-79.43583333333333,43.66083333333333
14,-79.39199,43.69933
8,-79.4701178,43.6653032
1,-79.4990363,43.6162721
2,-79.355474,43.720645
1,-79.4588522,43.6641174
7,-79.4296346,43.6424558
0,-79.4026176,43.6954486
8,-79.3149901,43.6850809
4,-79.3405681,43.6800218
0,-79.1849889,43.7842419
10,-79.36536439999999,43.6451308
11,-79.3552533,43.6482995
7,-79.38781039999999,43.65637299999999
15,-79.38631,43.657838
12,-79.131911,43.778015
5,-79.470171,43.672079
1,-79.350119,43.690237
3,-79.39139,43.70942
3,-79.382919,43.671389
15,-79.38117,43.671561
6,-79.383238,43.693256
0,-79.4636388,43.65412449999999
2,-79.339243,43.680207
3,-79.438715,43.6589882
1,-79.4352208,43.6741219
10,-79.3706665,43.6469928
13,-79.36647,43.683884
5,-79.3899265,43.6578449
1,-79.3847928,43.6477785
1,-79.31168269999999,43.6856128
0,-79.390556,43.681944
16,-79.409597,43.64534
18,-79.4408141,43.6393107
0,-79.279682,43.68306889999999
8,-79.3323698,43.6626628
9,-79.3373885,43.681114
9,-79.4168659,43.638925
4,-79.309395,43.676216
0,-79.378208,43.652822
27,-79.379625,43.656633
7,-79.286864,43.686962
1,-79.371914,43.718039
1,-79.39018,43.672152
3,-79.467994,43.673019
0,-79.37644,43.72268
1,-79.4407647,43.6504218
0,-79.3940052,43.68850459999999
13,-79.393295,43.641705
6,-79.487583,43.647663
0,-79.377456,43.720998
1,-79.4032194,43.72814640000001
10,-79.3882538196087,43.652327224103
5,-79.4227573,43.6438602
8,-79.49336334201408,43.64920406876699
18,-79.3860211,43.6503935
2,-79.39940399999999,43.6399714
0,-79.43937767081853,43.68827060022711
21,-79.37894570000002,43.6614605
0,-79.30058718775287,43.69413548199171
2,-79.40115449999999,43.7254665
3,-79.39886200000001,43.7083577
11,-79.4197107,43.63840090000001
13,-79.33368089999999,43.7027268
8,-79.310554,43.70567
0,-79.4088888888889,43.635
6,-79.35627385059036,43.656784782853144
6,-79.403637,43.732016
6,-79.38849615969643,43.67515255542865
3,-79.36701962396272,43.67468857448634
4,-79.3814254607724,43.727365488246306
3,-79.39245919999999,43.6846177
2,-79.5002,43.77345
2,-79.313404,43.686442
25,-79.40297869999999,43.66402799999999
26,-79.3873,43.65049
8,-79.4013882,43.64134790000001
14,-79.377,43.64215
16,-79.4115736,43.6392777
9,-79.39744979999999,43.645102
0,-79.4342726,43.6602021
8,-79.45641169999999,43.644887
10,-79.34403250000001,43.680012
14,-79.406112,43.637381
24,-79.397877,43.63811
2,-79.432446,43.64957
18,-79.2971326,43.6700692
8,-79.37558829999999,43.6559476
15,-79.30811709999999,43.6677628
7,-79.3068697,43.6750806
0,-79.4547813,43.6754247
21,-79.40966630000001,43.6409957
6,-79.34993659999999,43.6593483
0,-79.421192,43.67168
6,-79.374222,43.652634
11,-79.4060978,43.6519501
0,-79.3641171,43.6613642
9,-79.3304491,43.6808774
13,-79.3413344,43.6623658
18,-79.3263159,43.6791345
14,-79.3704721,43.6478206
3,-79.40352209999999,43.635495
11,-79.3110942,43.6868681
4,-79.435364,43.678177
1,-79.39504339999999,43.6962302
5,-79.425116,43.667076
0,-79.43469,43.68005
0,-79.4527619,43.675648
6,-79.4041365,43.6677246
10,-79.39838,43.648437
17,-79.374,43.6673
13,-79.38269509999999,43.6517925
12,-79.4423237,43.6372958
3,-79.4302462,43.6554793
0,-79.415894,43.686352
11,-79.41610440000001,43.6442457
5,-79.5005,43.7741
1,-79.410657,43.683979
11,-79.3953394,43.6472019
9,-79.35794659999999,43.6513927
5,-79.3772602,43.6647688
1,-79.381285,43.6506
1,-79.3429074,43.6408346
3,-79.4497659,43.6585504
18,-79.40051919999999,43.6484201
3,-79.314283,43.693187
2,-79.40011729999999,43.6425791
14,-79.3733192,43.6469251
10,-79.40065430000001,43.644395
2,-79.391206,43.6463574
8,-79.3702641,43.6682342
0,-79.39071899999999,43.6791876
2,-79.398331,43.674446
4,-79.48296909999999,43.6501644
6,-79.38761010000002,43.6658804
1,-79.28357,43.68035
6,-79.3667689,43.6535052
3,-79.2563167072858,43.702418581463505
6,-79.27046628033244,43.68824135931814
7,-79.265027,43.691688
8,-79.25655146462776,43.697490048103
2,-79.26257204548136,43.69401297794256
14,-79.28339980000001,43.6929478
1,-79.27180659999999,43.6950192
0,-79.4627536,43.69263249999999
11,-79.2541175,43.7105975
1,-79.45782580000001,43.69415
6,-79.44099,43.70163
3,-79.460265,43.688028
8,-79.455765,43.68323
0,-79.45376999999999,43.69466
2,-79.3513564,43.6784834
1,-79.4963345,43.65016869999999
2,-79.50601999999999,43.6492
9,-79.2939525,43.6897656
20,-79.4674917,43.6357643
10,-79.4838132,43.62369169999999
13,-79.458111,43.648657
13,-79.380471,43.671293
1,-79.4493630391668,43.699327072589426
9,-79.4934616,43.63560589999999
2,-79.5114452,43.7611741
6,-79.5162777,43.7603624
7,-79.4918,43.62313
2,-79.511912,43.772445
8,-79.365023,43.653359
5,-79.25104443353288,43.70643614257429
2,-79.370638,43.655972
9,-79.380723,43.641952
5,-79.399586,43.646552
2,-79.3947953,43.6591529
1,-79.440764,43.659055
3,-79.375961,43.669576
4,-79.29511,43.706466
14,-79.44879407014527,43.646314469245205
15,-79.32295440954084,43.65222662225532
8,-79.47502122887077,43.66526761605873
3,-79.41010317605742,43.66554144421798
0,-79.5085364909097,43.77649016265579
9,-79.380653,43.655431
8,-79.38591063795928,43.65351799690878
7,-79.54449133041076,43.59119994025076
10,-79.34105699999999,43.6544839
15,-79.39698099821702,43.65082785552666
7,-79.46092618902435,43.673843560032594
0,-79.38604436555764,43.647508351306186
5,-79.33413623320465,43.71513211098082
8,-79.33089439933623,43.71649675774656
6,-79.32811427663442,43.715537998967406
6,-79.34807015078738,43.70400405297843
1,-79.33199950866776,43.719632535237835
1,-79.36781965092621,43.70656159598004
4,-79.34224729962946,43.70518328279426
2,-79.38736016665911,43.70088225686968
3,-79.40099513147447,43.68688938028234
7,-79.387502,43.63796
9,-79.40351232494366,43.65484215542248
15,-79.400053,43.6637
4,-79.44618,43.662857
11,-79.123505,43.788319
12,-79.39430137761319,43.643025055165865
12,-79.47570569999999,43.7482972
23,-79.38976958703309,43.63737145931921
3,-79.48227195568086,43.73673829262113
2,-79.479626,43.753107
3,-79.4869662,43.7494501
8,-79.42023184193503,43.637695491830144
9,-79.3687301736982,43.64392767366328
22,-79.396555,43.650033
8,-79.41423166721611,43.639124514797004
17,-79.376785,43.640978
10,-79.398167,43.658148
20,-79.309765,43.663162
0,-79.408723,43.67883
22,-79.380464,43.640132
11,-79.3831757,43.6451635
8,-79.510392,43.64817
2,-79.449534,43.661324
7,-79.38355031526893,43.66496415990742
5,-79.3798521,43.640741
7,-79.373181,43.663102
15,-79.4108105,43.6322445
13,-79.389295,43.655103
3,-79.4091666666667,43.6563888888889
0,-79.454823,43.637894
5,-79.4654233,43.6525077
1,-79.4650569,43.6535269
7,-79.358395,43.652686
4,-79.38114574756837,43.666850777484896
9,-79.358505,43.661152
6,-79.358035,43.659296
9,-79.402761,43.667158
9,-79.27710529695892,43.69362206784152
1,-79.24391402446746,43.72704086366749
8,-79.43617975886079,43.63735795888104
5,-79.21995221481933,43.73596719224253
2,-79.2876595,43.7154661
5,-79.43746059447746,43.642904395956684
12,-79.26850999999999,43.70688
7,-79.28528711019696,43.697356080874876
4,-79.39915125005619,43.70960859570095
3,-79.27028152889692,43.71176278859601
18,-79.324961,43.671771
1,-79.29127313845584,43.7110442448186
3,-79.2787149,43.7032112
5,-79.2487086,43.7128578
7,-79.22496619876934,43.7323277855009
3,-79.39444614603269,43.669821695059376
9,-79.464366,43.645653
9,-79.465319,43.649217
6,-79.22920396582664,43.72690169821676
1,-79.39836278587889,43.67794376009951
6,-79.42875613770637,43.64309687937765
23,-79.38345966759798,43.655350778457056
6,-79.41502994047545,43.6412561641921
6,-79.4015,43.6476
0,-79.39629396191867,43.6962750705313
10,-79.3972815,43.70430959999999
2,-79.40537298227844,43.69711160305226
6,-79.32262453633884,43.68370788065334
0,-79.3962499,43.7063279
1,-79.39877642209015,43.64600446255825
4,-79.42355911563249,43.64299174164139
7,-79.32661544194183,43.657275497390124
1,-79.33478198280334,43.68698672516659
8,-79.44320901022282,43.65922918158098
11,-79.28055565662231,43.71161098023304
6,-79.20970650787817,43.74531103700256
5,-79.379878,43.647259
8,-79.32782698645094,43.67036917803197
14,-79.3853654,43.6458569
6,-79.3707,43.6509552
21,-79.416944,43.649722
14,-79.41933192053696,43.64570236705167
0,-79.38801106873031,43.66981064282057
3,-79.38013325933063,43.65074822310989
0,-79.368333,43.665278
5,-79.33424613862303,43.6798678328407
1,-79.3047092517501,43.71602024377182
0,-79.30675743891624,43.71101621552703
2,-79.30252066313936,43.70751755961952
3,-79.29961580314475,43.717678679534906
0,-79.39537831814152,43.6603874468082
11,-79.4187711,43.6352007
10,-79.41436313073005,43.6333523484014
9,-79.408832,43.636804
0,-79.41528502874928,43.781877158752955
