,free_bikes,rating,review_count,distance,total
175,1,4.0,54,181.35680413505227,300
176,1,4.0,32,596.1817785576058,300
177,1,4.0,27,714.7375214166963,300
178,1,4.0,9,596.187789001061,300
179,1,3.5,11,69.38777385609869,300
181,7,4.5,51,708.2266913752015,367
182,7,4.0,4,355.08704423844637,367
183,7,4.0,10,282.08937958151057,367
184,7,4.5,24,497.5599649982354,367
185,7,4.0,184,452.8918476781237,367
186,7,3.5,296,271.535799866748,367
187,7,4.0,93,291.2989245524815,367
188,7,4.0,320,407.2728676570002,367
189,7,4.0,78,256.088920938878,367
190,7,4.5,43,327.5935167063977,367
191,7,4.0,207,130.60327558979031,367
192,7,4.0,14,281.40332348988284,367
193,7,4.0,22,608.4640148726277,367
195,7,5.0,6,58.72760049955426,367
196,7,4.5,13,407.98482444601694,367
197,7,4.0,11,287.3000676617338,367
198,7,4.0,5,504.5188590788449,367
199,7,4.0,27,262.5318252530973,367
200,0,4.0,87,416.77973051607705,135
201,0,4.5,28,369.36766339864266,135
202,0,4.5,13,390.5363578108714,135
203,0,4.5,62,737.1358682969507,135
204,0,4.5,15,287.00569307125016,135
205,0,4.0,27,416.787938460979,135
206,0,4.5,8,434.3261060923525,135
207,0,5.0,14,317.90899652159766,135
208,0,4.0,67,1090.7436713941631,135
209,0,4.5,30,336.91406501838486,135
210,0,4.5,147,395.15201188048775,135
211,0,4.0,1,384.88864335510215,135
213,0,3.5,17,390.19081897586005,135
214,0,4.0,38,332.66395976889413,135
215,0,4.5,81,970.1342375499418,135
216,0,4.0,24,390.1908682536591,135
217,0,4.0,84,576.7532473468949,135
218,0,4.0,202,478.85747706141854,135
219,0,4.0,94,407.85941618231294,135
242,0,5.0,5,57.19334397687788,910
243,0,4.0,13,428.475754648505,910
245,0,4.5,76,800.849888060463,910
246,0,4.5,102,682.1866336459361,910
247,0,4.0,156,124.56082698339964,910
250,0,4.5,44,732.2759831247231,910
251,0,4.0,38,894.2044857504387,910
252,0,5.0,34,502.9292498051389,910
253,0,4.0,120,597.0947946644083,910
254,0,4.5,22,808.2325516786118,910
256,0,4.5,8,540.1024227030468,910
257,0,5.0,56,679.9650961580613,910
259,0,4.0,90,611.5487732422936,910
260,15,4.5,62,62.30276081644259,145
261,15,4.0,84,172.99749407281465,145
262,15,4.5,81,811.5845498414432,145
263,15,4.5,28,468.3648677162968,145
264,15,5.0,3,55.437142563887214,145
265,15,4.0,214,191.47993077815042,145
266,15,4.0,94,368.95324398561286,145
267,15,4.5,13,241.6361671873073,145
269,15,4.5,30,601.6147760582919,145
270,15,5.0,14,607.0728087620777,145
271,15,4.0,108,451.0345084941533,145
272,15,4.5,15,616.5875072630927,145
273,15,4.0,38,636.5022702140534,145
274,15,4.0,138,333.26553149394067,145
275,15,4.5,11,551.3243140098388,145
276,15,4.0,4,44.7305878213705,145
277,15,4.0,69,672.3746425378544,145
278,15,4.0,87,896.0720012854233,145
279,15,3.5,75,393.69519819783034,145
280,13,4.0,37,514.66166862975,137
281,13,4.0,231,464.69908133692354,137
282,13,4.5,14,469.4057790937696,137
283,13,4.5,2,507.54661508450624,137
284,13,4.5,173,653.2904504890805,137
285,13,4.5,64,665.2792870244064,137
286,13,3.5,31,415.8254919999728,137
287,13,4.5,81,1028.2034496110914,137
289,13,4.0,41,674.4873634687524,137
290,13,4.0,101,738.342973725775,137
291,13,4.5,43,409.1294241845222,137
292,13,4.0,161,559.6262146411514,137
293,13,4.5,31,468.22321812631697,137
295,13,4.5,4,763.3786625296808,137
296,13,4.0,17,593.4810649218342,137
297,13,3.5,6,458.8753387238357,137
298,13,4.0,69,659.0012812108613,137
299,13,4.0,48,749.8160081509459,137
300,11,4.5,81,423.42353249706457,81
301,11,4.0,101,344.5814862019747,81
302,11,4.0,37,504.47445132121425,81
303,11,4.5,64,356.49342007207633,81
304,11,4.0,128,321.2637736260231,81
305,11,4.5,173,385.8941402302397,81
306,11,4.0,48,338.49903221965906,81
307,11,4.0,41,370.19558055995714,81
308,11,4.0,231,580.5168823233531,81
309,11,4.0,57,340.0840371475015,81
311,11,4.0,39,686.6765838124089,81
312,11,4.5,62,1166.74682214585,81
313,11,4.0,76,475.3346866610098,81
314,11,4.5,5,466.724163022876,81
315,11,3.5,31,715.5883556827365,81
316,11,4.5,8,376.01389555628526,81
317,11,4.0,23,370.54864871161766,81
318,11,4.0,74,673.4566044599003,81
319,11,4.5,43,694.698133613753,81
320,3,4.5,3,872.5722455917763,45
321,3,4.5,24,843.2815868365756,45
322,3,3.5,34,48.99828056380159,45
323,3,4.0,86,592.4367110145528,45
324,3,4.5,24,800.8352183623911,45
