,name,rating,review_count,distance,latitude,longitude,total,api,query
67,Beerbistro,4.0,682,400.04159247424565,43.653236,-79.376716,1100,yelp,restaurant
68,Katsuya,4.5,503,768.4957450459857,43.653236,-79.376716,1100,yelp,restaurant
69,Hendriks Restaurant & Bar,4.0,120,269.68300532343875,43.653236,-79.376716,1100,yelp,restaurant
70,The Senator,4.0,495,334.0862515727654,43.653236,-79.376716,1100,yelp,restaurant
71,Bob's Bulgogi,4.0,90,137.58338363742573,43.653236,-79.376716,1100,yelp,restaurant
72,The Carbon Bar,4.0,418,151.11249545442493,43.653236,-79.376716,1100,yelp,restaurant
73,Pai Northern Thai Kitchen,4.5,3503,1133.0794884581526,43.653236,-79.376716,1100,yelp,restaurant
74,KINKA IZAKAYA ORIGINAL,4.0,1819,818.3672641461987,43.653236,-79.376716,1100,yelp,restaurant
75,Hana Don,4.5,22,690.5955016176803,43.653236,-79.376716,1100,yelp,restaurant
76,Som Tum Jinda,4.0,13,783.4844859546329,43.653236,-79.376716,1100,yelp,restaurant
77,Gyukatsu Kyoto Katsugyu,4.0,156,412.25418374092743,43.653236,-79.376716,1100,yelp,restaurant
78,Lucie,5.0,1,413.56586240120566,43.653236,-79.376716,1100,yelp,restaurant
79,King Taps,4.0,406,651.9579259275845,43.653236,-79.376716,1100,yelp,restaurant
80,Horangee Sikdang,4.5,44,393.4154721088926,43.663722,-79.38028800000001,732,yelp,restaurant
81,Katsuya,4.5,503,432.97510803376827,43.663722,-79.38028800000001,732,yelp,restaurant
82,Lao Lao Bar,4.5,51,489.11688244948164,43.663722,-79.38028800000001,732,yelp,restaurant
83,KINKA IZAKAYA ORIGINAL,4.0,1819,383.3225709992662,43.663722,-79.38028800000001,732,yelp,restaurant
84,Som Tum Jinda,4.0,13,425.9214399624397,43.663722,-79.38028800000001,732,yelp,restaurant
85,Kintaro Izakaya,4.0,246,52.83519430742135,43.663722,-79.38028800000001,732,yelp,restaurant
86,Sinjeon Topokki,4.5,8,309.7401158352471,43.663722,-79.38028800000001,732,yelp,restaurant
87,Hair of the Dog,4.0,370,102.74360938293962,43.663722,-79.38028800000001,732,yelp,restaurant
88,Gurume Sushi,5.0,56,265.3156090875458,43.663722,-79.38028800000001,732,yelp,restaurant
89,Sanuki Udon,4.0,26,257.4529509068932,43.663722,-79.38028800000001,732,yelp,restaurant
90,Si Lom Thai Bistro,4.0,200,150.84693891511927,43.663722,-79.38028800000001,732,yelp,restaurant
91,Afuri,4.0,29,129.9860206884316,43.663722,-79.38028800000001,732,yelp,restaurant
92,Egg Club Wellesley,4.5,39,305.4720539573997,43.663722,-79.38028800000001,732,yelp,restaurant
93,Pocha 1989,3.5,21,176.3187908530637,43.663722,-79.38028800000001,732,yelp,restaurant
94,Mabu Generation,4.0,59,395.9857807069012,43.663722,-79.38028800000001,732,yelp,restaurant
95,The Cherie  Bistro,4.0,26,163.62467104721765,43.663722,-79.38028800000001,732,yelp,restaurant
96,Mogouyan Hand-Pulled Noodles,4.5,76,954.1351089118326,43.663722,-79.38028800000001,732,yelp,restaurant
97,Dakgogi,3.0,38,280.43253315734853,43.663722,-79.38028800000001,732,yelp,restaurant
98,The Bar Jokbal Night Market,4.0,5,611.5800533232311,43.663722,-79.38028800000001,732,yelp,restaurant
99,The Carlton Restaurant,4.5,7,232.8943221484644,43.663722,-79.38028800000001,732,yelp,restaurant
100,Mogouyan Hand-Pulled Noodles,4.5,76,442.32646035496845,43.657763,-79.389165,1000,yelp,restaurant
101,Yuugi Izakaya,4.5,83,436.7510327540966,43.657763,-79.389165,1000,yelp,restaurant
102,Hana Don,4.5,22,432.75366835790976,43.657763,-79.389165,1000,yelp,restaurant
103,Horangee Sikdang,4.5,44,615.3108818145923,43.657763,-79.389165,1000,yelp,restaurant
104,Katsuya,4.5,503,871.0071250497726,43.657763,-79.389165,1000,yelp,restaurant
105,Soya Mandarin Kitchen,4.0,38,393.32280445325625,43.657763,-79.389165,1000,yelp,restaurant
106,Gyubee Japanese Grill - Dundas,4.5,210,393.4109960373616,43.657763,-79.389165,1000,yelp,restaurant
107,Omai Restaurant,4.0,126,319.25735370120736,43.657763,-79.389165,1000,yelp,restaurant
108,Dear Saigon,4.0,21,433.9528762399971,43.657763,-79.389165,1000,yelp,restaurant
109,The Queen And Beaver Public House,4.0,413,473.2283897255041,43.657763,-79.389165,1000,yelp,restaurant
110,Dzo Viet Eatery,4.0,161,425.67483765846924,43.657763,-79.389165,1000,yelp,restaurant
111,Holy Cow Japanese Steakhouse,4.5,163,876.7258423564377,43.657763,-79.389165,1000,yelp,restaurant
112,KINKA IZAKAYA ORIGINAL,4.0,1819,877.1467901560992,43.657763,-79.389165,1000,yelp,restaurant
113,Manpuku Japanese Eatery,4.0,519,476.09997763424656,43.657763,-79.389165,1000,yelp,restaurant
114,Lao Lao Bar,4.5,51,932.2753833071444,43.657763,-79.389165,1000,yelp,restaurant
115,Moon Palace,4.0,63,571.2114796822435,43.657763,-79.389165,1000,yelp,restaurant
116,Richmond Station,4.5,908,1066.148496019152,43.657763,-79.389165,1000,yelp,restaurant
117,Som Tum Jinda,4.0,13,921.8490397919885,43.657763,-79.389165,1000,yelp,restaurant
118,GB Hand-pulled Noodles,4.0,581,456.04177716013015,43.657763,-79.389165,1000,yelp,restaurant
119,Mom's Pan-Fried Buns,4.0,21,339.3661423072272,43.657763,-79.389165,1000,yelp,restaurant
120,Mogouyan Hand-Pulled Noodles,4.5,76,180.9763467434198,43.656729,-79.382736,1100,yelp,restaurant
121,Hana Don,4.5,22,184.95680378356542,43.656729,-79.382736,1100,yelp,restaurant
122,Katsuya,4.5,503,481.8277558790343,43.656729,-79.382736,1100,yelp,restaurant
123,Moon Palace,4.0,63,65.11778744692941,43.656729,-79.382736,1100,yelp,restaurant
124,Horangee Sikdang,4.5,44,431.1258446275561,43.656729,-79.382736,1100,yelp,restaurant
125,Richmond Station,4.5,908,657.1055129257962,43.656729,-79.382736,1100,yelp,restaurant
126,KINKA IZAKAYA ORIGINAL,4.0,1819,513.829541801903,43.656729,-79.382736,1100,yelp,restaurant
127,Haidilao Hot Pot,5.0,34,329.6030539726629,43.656729,-79.382736,1100,yelp,restaurant
128,The Queen And Beaver Public House,4.0,413,82.12766739073525,43.656729,-79.382736,1100,yelp,restaurant
129,The Rabbit Hole,4.0,38,782.5187075044352,43.656729,-79.382736,1100,yelp,restaurant
130,The Senator,4.0,495,320.2991263055549,43.656729,-79.382736,1100,yelp,restaurant
131,Som Tum Jinda,4.0,13,530.4017168473649,43.656729,-79.382736,1100,yelp,restaurant
132,Daldongnae Korean BBQ - Dundas Square,4.5,12,192.56127543189783,43.656729,-79.382736,1100,yelp,restaurant
133,Pai Northern Thai Kitchen,4.5,3503,1095.5910142176267,43.656729,-79.382736,1100,yelp,restaurant
134,Hendriks Restaurant & Bar,4.0,120,419.04646196599293,43.656729,-79.382736,1100,yelp,restaurant
135,Gyubee Japanese Grill - Dundas,4.5,210,301.85317179582466,43.656729,-79.382736,1100,yelp,restaurant
136,GB Hand-pulled Noodles,4.0,581,78.48210546860933,43.656729,-79.382736,1100,yelp,restaurant
137,Congee Queen,4.0,52,185.02340775028702,43.656729,-79.382736,1100,yelp,restaurant
138,Vietlicious Toronto,4.5,5,152.3892934416342,43.656729,-79.382736,1100,yelp,restaurant
139,Adega Restaurante,4.0,161,75.9289888086432,43.656729,-79.382736,1100,yelp,restaurant
140,Jin Dal Lae,4.5,116,45.70845779352447,43.664467,-79.414783,338,yelp,restaurant
141,Daldongnae Korean BBQ - Christie,4.5,92,75.1081485757723,43.664467,-79.414783,338,yelp,restaurant
142,Paldo Gangsan,4.5,85,224.87889726449862,43.664467,-79.414783,338,yelp,restaurant
143,Mapo Pocha Soju Bar,5.0,3,165.9159065096131,43.664467,-79.414783,338,yelp,restaurant
144,Korean Village Restaurant,4.0,430,28.68956624967066,43.664467,-79.414783,338,yelp,restaurant
145,Insomnia Restaurant & Lounge,4.0,1018,346.4745854459776,43.664467,-79.414783,338,yelp,restaurant
146,Yummy Korean Food Restaurant,4.0,276,62.04971461550738,43.664467,-79.414783,338,yelp,restaurant
147,Jjin Toast,5.0,23,286.70293545700014,43.664467,-79.414783,338,yelp,restaurant
148,Her Chef,4.5,63,147.54824326655626,43.664467,-79.414783,338,yelp,restaurant
149,MaMa Chef Korean Restaurant,4.0,69,47.32785107871025,43.664467,-79.414783,338,yelp,restaurant
150,Rasa,4.5,330,890.0388310101379,43.664467,-79.414783,338,yelp,restaurant
151,Sunrise House,4.0,215,82.31401014583372,43.664467,-79.414783,338,yelp,restaurant
152,Hancook Cheese Dakgalbi,4.0,84,133.92031265532722,43.664467,-79.414783,338,yelp,restaurant
153,Buk Chang Dong Soon Tofu,4.0,486,202.1350880505349,43.664467,-79.414783,338,yelp,restaurant
154,Tacos El Asador,4.0,323,189.56530375772482,43.664467,-79.414783,338,yelp,restaurant
155,C-Block Taiwanese Bento,4.5,6,193.70112600486925,43.664467,-79.414783,338,yelp,restaurant
156,Mapo Korean BBQ,4.0,70,246.8805479598583,43.664467,-79.414783,338,yelp,restaurant
157,El Pocho Antojitos Bar,4.5,84,585.5763100589309,43.664467,-79.414783,338,yelp,restaurant
